video_id,fetch_date,rank_today,view_count,like_count,comment_count
EO5IvUWk9oI,2025-09-21,95,57158,1025,56
k-5R7GsEKFY,2025-09-21,96,101460,232,0
RCEbKX_mfQ8,2025-09-21,97,71800,345,11
CJikEjcZGok,2025-09-21,98,47650,1120,52
ogf4nk2fs9g,2025-09-21,99,755890,5807,6
eYS-4AmG-5E,2025-09-21,100,72074,453,44
1rahMByqNCA,2025-09-21,101,28414,2452,70
tGqlvoa2cGc,2025-09-21,102,1781741,42728,1063
S5rV-1OHrsw,2025-09-21,103,796068,16915,632
kyMmifosPU8,2025-09-21,104,22119,1607,202
NTAquQ9N3pI,2025-09-21,105,79600,476,6
VKAqA9DfxZY,2025-09-21,106,80551,2041,172
YEkZHNcieZc,2025-09-21,107,87160,492,4
rqrYB2SOU-E,2025-09-21,108,711977,4832,2
kdRynSEOMns,2025-09-21,109,1236769,34377,1470
GzA6yASqdK4,2025-09-21,110,22269,239,55
vpwv4k9yzXc,2025-09-21,111,42506,487,25
94fymafMAM8,2025-09-21,112,46647,345,8
4Z8lhxsNVdg,2025-09-21,113,27685,1125,71
UYUq4GJwh04,2025-09-21,114,271102,3902,279
MsxnfFhICM8,2025-09-21,115,186461,2651,165
aFFESENrwLA,2025-09-21,116,46159,2684,81
hLaViAUT0kM,2025-09-21,117,1643309,12378,120
tlKoUh_44v0,2025-09-21,118,239201,907,13
eT2lT-yXz_0,2025-09-21,119,155325,3402,8
Q9BMJl-MakE,2025-09-21,120,106065,928,23
MB_rRsio8gU,2025-09-21,121,337537,7637,1773
M7mYV1OSezg,2025-09-21,122,1948766,204608,40031
2UQYrNDP7EM,2025-09-21,123,351397,0,16
HnLaJJrTJYk,2025-09-21,124,28325,417,15
-FiVO2MyHzY,2025-09-21,125,468139,4197,267
TCY48ybLsBc,2025-09-21,126,60341,5548,429
ki17bHkfdYo,2025-09-21,127,241073,7332,826
C9V9ORJ6ltY,2025-09-21,128,2232871,53539,1177
9aLJJpVzGQ8,2025-09-21,129,62252,1338,5
7x0Pm3xqeNU,2025-09-21,130,33771,228,14
GWp4Ys6MRM0,2025-09-21,131,252344,9021,1566
QoFXnQPxrwo,2025-09-21,132,113976,701,51
vjtUbIgfLRM,2025-09-21,133,166373,5922,233
H4Im5cHHmcA,2025-09-21,134,67570,479,6
ksszy114t7w,2025-09-21,135,264721,22726,5308
JykECxKSC_8,2025-09-21,136,169289,3877,32
Or0S6CeVwms,2025-09-21,137,403576,8807,1204
ykOHrWCDE0c,2025-09-21,138,317851,1343,45
k4v6JMaW4Uk,2025-09-21,139,188101,3176,783
3zreux1sItQ,2025-09-21,140,37067,519,10
JmWYcZCrQv8,2025-09-21,141,59419,2308,427
phe3ZL2PycQ,2025-09-21,142,38471,412,18
mjCeoj7_QuY,2025-09-21,143,138141,613,15
O3FYXZZivYo,2025-09-21,144,23198,194,24
