video_id,video_published_at,title,tags,channel_id,channel_title,subscriber_count,category_id,category_name,duration_seconds
M2Q1p3BNoC0,2025-10-04T14:08:28Z,Shinchan Surviving 99999 Zombies! 🔥,Shinchan Surviving Zombie Attack! 🔥|junkeyy|Shivang mini|Shinchan game|Doraemon Game|Nobita Game|Shinchan in hindi|Green Gaming|Gaming with Demon|Shinchan Gaming|Frostbite Gaming|Epic Playz|VeryNuclear|Rock Indian Gamer|Amaan-T|Flight Gamer|Proboiz|Tyro Gaming|Proboii|Taro gaming|Funny Game Roblox|Doraemon New Episode|Shinchan New Episode|Zombie Tycoon|Survive Zombie City|Roblox Zombie|Zombie Roblox|Zombie Tycoon Roblox,UCIpN4Y3Pt00Q9KoQMWI77_Q,Tyro Gaming,1880000,20,Gaming,686.0
4_lahvmxMSg,2025-10-06T09:45:00Z,राधे तेरे चरणों की धूल जो मिल जाए | Radhe Tere Charno Ki | Bhumika Sharma | Krishna New Bhajan 2025,Radhe rani bhajan|Krishna Bhajan|Radhe Tere Charno Ki Dhool Jo Mil Jaye|Shyama Tere Charno Ki|Radhe Tere Charn Ki Krishna Bhajan|Vats Bandhu Krishna Bhajan|Radhe Tere Charno Ki Dhool Popular Krishna Bhajan|राधे तेरे चरणों की धूल जो मिल जाए कृष्ण भजन|वत्स बंधू कृष्ण भजन|Krishna Bhajan Radhe Tere Charno Ki|राधे तेरे चरणों की श्यामा तेरे चरणों की|Vats Bandhu Bhakti Video|Singer Bhumika Sharma|radha krishna song|radha ji new song 2025|latest radhe song,UCRXlpNxGm3FUPPtFSDxxGlQ,श्याम प्रेमी ™,28800,10,Music,332.0
Xpe7fKZBx3E,2025-10-05T12:00:23Z,Triple Flatbed Trailer McQueen Transportation with Truck - Speedbumps vs Cars vs Train - BeamNG #,BeamNG.drive gameplay|Flatbed truck BeamNG|McQueen BeamNG|Truck transport BeamNG|BeamNG car crashes|Pothole vs car|BeamNG flatbed transport|BeamNG realistic crash|Lightning McQueen BeamNG|BeamNG mods|Car crash simulator|BeamNG truck simulation|BeamNG Drive crash test|BeamNG transport challenge|BeamNG McQueen mod,UC0zuegMcQOkNWwcGhui1XlQ,MBK BEAMNG,11200,20,Gaming,411.0
rZ8uVuIPUqg,2025-10-03T09:30:35Z,#Video - #Raushan Rohi मगही गीत - तू है 300 वाली - #Srishti Bharti - #Shivani - #Maghi New Song,Raushan Rohi|Raushan Rohi Entertainment|srishti bharti|srishti bharti aur raushan rohi ka new magahi song|raushan rohi new magahi song 2025|main 300 me bikne lagi|मैं 300 में बिकने लगी|raushan rohi song|srishti bharti magahi song 2025|raushan rohi magahi song 2025|mai 300 me bikane lagi|raushan rohi new song|300 में करो ही माल सेल|300 me karo hi mal sel|तू है 300 वाली|tu hai 300 wali|srishti bharti maghi song,UCh6r40fbLs62rieVnODZkSw,Raushan Rohi Entertainment,2160000,10,Music,240.0
XZhXFbFCOu4,2025-10-05T14:34:17Z,Race Highlights | 2025 Singapore Grand Prix,F1|Formula One|Formula 1|Sports|Sport|Action|GP|Grand Prix|Auto Racing|Motor Racing|George Russell|Max Verstappen|Oscar Piastri,UCB_qr75-ydFVKSF9Dmo6izg,FORMULA 1,13400000,17,Sports,494.0
h5vG6jFpwuc,2025-10-05T11:30:39Z,Somvaar Special Shiv Bhajan | Bhagvaan Shiv Bhajan | सोमवार स्पेशल शिव भजन | शिव भक्ति गीत #shiva,shiv special bhajan|shiv special bhajan geet|shiv special bhajan song|shiv special bhajan anuradha paudwal|sawan special shiv bhajan|somwar shiv special bhajan|shiv bhajan special bhajan|sawan ka special shiv bhajan|anuradha paudwal gulshan kumar shiv bhajan sawan special|sawan special shiv bhajan shahnaz akhtar|sawan special shiv bhajan anuradha paudwal|shahnaz akhtar special shiv bhajan|shiv bhole ke special bhajan|shiv bhajan|shiv songs|mahadev|shiv jukebox,UCWXrXPj4cWCrGpZjGExpeIg,Pranam Bhakti,24200,22,People & Blogs,7013.0
yWENuVpdimY,2025-10-06T06:33:36Z,HOW I OBTAINED THE GOD SWORD in Minecraft Hardcore...,HOW I OBTAINED THE GOD SWORD in Minecraft Hardcore...|obtaining god sword in minecraft|minecraft god sword|i obtained god sword in minecraft|how to get god sword in minecraft|minecraft hardcore|minecraft hardcore in hinid|how i obtained god sword in minecraft hardcore|bulky star|bulky star new video|god sword|bulky star minecraft|how i obtained the strongest sword in minecraft|strongest sword in minecraft,UC8ZzyNuoZDFeXGDJsB0o-8A,Bulky Star,1170000,20,Gaming,1497.0
HFpgAkgBwSA,2025-10-06T13:30:23Z,Mask - Kannumuzhi Lyrical | Vetri Maaran | GV Prakash Kumar | Kavin | Andrea J | Ruhani | Vikarnan,Kannumuzhi Lyrical|Mask Kannumuzhi Song|Mask Movie Song|GV Prakash Kumar Songs|Vetri Maaran Movie|Kavin Mask Song|Andrea Jeremiah Mask|Ruhani Sharma Songs|Vikarnan Mask|Mask Tamil Movie|Tamil Lyrical Video|GV Prakash New Song|Kavin New Movie|Andrea Jeremiah Songs|Tamil Songs 2025|Mask GV Prakash Music|Vetri Maaran Direction|Tamil Love Song|Kannumuzhi Mask Song|Tamil Trending Songs|GV Prakash Lyrical Video|Mask Movie GV Prakash|Mask 2025 Songs,UCAEv0ANkT221wXsTnxFnBsQ,T-Series Tamil,5750000,10,Music,229.0
WQYCffFVhpk,2025-10-05T04:40:23Z,Franklin Stuck in Deepest Nose Hole - INDIAN BIKES DRIVING 3D,,UC5fT39STLgUoX-gbH9w9vlQ,Tiox Play,1370000,20,Gaming,809.0
fTB08H60ZGs,2025-10-04T10:03:42Z,লক্ষ্মী দেৱীৰ নাম ভক্তিমূলক গীত,Babanita Das|লক্ষ্মী দেৱীৰ নাম ভক্তিমূলক গীত,UCvz5X030rQCzfpGJsrkfzFg,Babanita Das - Topic,2050,10,Music,664.0
